nuts,SD,EPP,EAF,G,ALDE,NI,GUE,ECR,UEN,electorate,voters
ES523,388503,545280,0,0,0,11490,0,0,0,1916227,1044020
ES53,99574,112666,0,0,0,9819,0,0,0,728501,257574
ES611,79467,100267,0,0,0,876,0,0,0,464414,195734
ES612,154896,131754,0,0,0,5142,0,0,0,969341,331430
ES613,140403,116601,0,0,0,3378,0,0,0,646613,296196
ES614,152777,135749,0,0,0,1786,0,0,0,724613,324358
ES615,80001,52559,0,0,0,1726,0,0,0,390483,148105
ES616,138681,105419,0,0,0,2324,0,0,0,531891,270649
ES617,190825,189929,0,0,0,3669,0,0,0,1116831,437110
ES618,328583,209836,0,0,0,7655,0,0,0,1481503,624404
ES620,139897,288460,0,0,0,84,0,0,0,984779,468951
ES630,6014,10952,0,0,0,12,0,0,0,58472,18400
ES640,6351,9501,0,0,0,6,0,0,0,51660,16946
ES707,117719,138815,0,0,0,25384,0,0,0,778437,304721
ES709,101249,109054,0,0,0,70913,0,0,0,781969,303113
FI,292051,386416,162930,206439,418251,98690,0,0,0,4131827,1664831
FR,2838160,4799908,1091691,2803759,1455841,2210652,1041911,0,0,44282823,17218614
GR111,32424,34693,6789,0,0,0,4242,0,0,168880,88907
GR112,24722,16177,3099,0,0,0,2393,0,0,113476,53687
GR113,20332,17937,3103,0,0,0,2290,0,0,118449,53538
GR114,21124,22762,4744,0,0,0,2542,0,0,116556,59246
GR115,26684,28088,5587,0,0,0,5094,0,0,145055,76916
GR121,28000,28067,5963,0,0,0,6245,0,0,138301,77800
GR122,127883,129240,39933,0,0,0,39402,0,0,786434,415364
GR123,19210,24077,4898,0,0,0,5311,0,0,108000,60219
GR124,31836,33848,6089,0,0,0,4420,0,0,150266,86011
GR125,25259,29138,5233,0,0,0,4485,0,0,129510,72904
GR126,37131,53286,8728,0,0,0,6723,0,0,241232,119964
GR127,20725,23514,4126,0,0,0,3282,0,0,103175,59810
GR131,9356,8930,1508,0,0,0,2158,0,0,45061,24559
GR132,9152,13785,2334,0,0,0,1410,0,0,62946,30518
GR133,33915,34529,4908,0,0,0,6203,0,0,162495,90511
GR134,10756,12599,2222,0,0,0,1698,0,0,85098,32367
GR141,29165,29762,4381,0,0,0,6878,0,0,137540,78256
GR142,50263,50153,9081,0,0,0,15339,0,0,251418,142560
