FR22	Picardie	1999	36371	59947	147284	66402	10861	110	67572	6421	411	2081	11146	115	64	4786	0	84179	55939	96141	45595	46099	1667268	778852	741524	37328	888416
FR23	Haute-Normandie	1999	13172	19597	68142	25107	3662	72	42534	2812	12	1461	4562	1	8	2544	0	34476	23485	40475	11463	6211	659423	319678	299796	19882	339745
FR24	Centre	1999	28504	53034	141541	52684	7948	32	41343	5067	6	2152	9640	1	32	4562	0	92698	50536	71696	24467	13009	1341220	638642	598952	39690	702578
FR25	Basse-Normandie	1999	16779	26717	85423	30675	4537	38	23569	3076	0	1434	5676	4	66	2865	0	51095	26213	46223	15392	9053	736695	379189	348835	30354	357506
FR26	Bourgogne	1999	36348	41066	162735	72333	10500	156	50472	6994	14	2681	13109	22	62	5313	0	96649	68036	92618	40389	19876	1566427	761269	719373	41896	805158
FR30	Nord - Pas-de-Calais	1999	29608	40388	132855	51389	6945	22	33663	5145	3	1750	7611	88	52	3134	0	47064	43361	66754	30669	20877	1100783	552122	521378	30744	548661
FR41	Lorraine	1999	52580	63106	236028	104629	13050	143	105341	9984	15	3604	14811	187	124	8690	0	121130	91368	116943	46561	27304	2158506	1072925	1015598	57327	1085581
FR42	Alsace	1999	12501	15821	58310	21651	3461	83	18474	2526	1	1370	4447	0	21	1953	0	32796	22180	32510	11870	5916	549684	265569	245891	19678	284115
FR43	Franche-Comté	1999	30101	42537	142309	61176	8214	64	52779	6064	19	2434	9736	42	48	5189	1	67757	54033	72714	29350	18682	1340544	641420	603249	38171	699124
FR51	Pays de la Loire	1999	43857	51661	197217	86815	12876	54	62874	8565	35	3346	14501	1	72	6346	0	109027	88936	118948	41661	24901	1957450	926287	871693	54594	1031163
FR52	Bretagne	1999	22907	24394	104547	45364	7046	11	59641	5666	278	2847	9091	88	33	4231	0	67082	63951	72242	22820	10984	1135675	563426	523223	40203	572249
FR53	Poitou-Charentes	1999	27095	27211	104567	45894	8602	200	23990	5322	9	2319	9451	3	18	3772	0	67417	51318	67134	30780	14976	1194036	525122	490078	35044	668914
FR61	Aquitaine	1999	82440	101280	298107	121404	24368	295	82668	17708	23	6295	26508	47	143	8985	0	166533	124654	159527	102463	41410	3193718	1459788	1364858	94930	1733930
FR62	Midi-Pyrénées	1999	98684	112427	365083	144151	29968	250	136760	21726	70	7786	31225	62	308	10914	0	187457	175998	192527	108749	48845	3711667	1793254	1672990	120264	1918413
FR63	Limousin	1999	31995	30945	134208	71704	16638	128	19213	5521	1	2318	12179	91	118	5135	0	90074	76784	87760	46587	30553	1548139	700187	661952	38235	847952
FR71	Rhône-Alpes	1999	114959	132320	459554	261346	33398	201	80303	20344	14	6333	41644	1106	326	15446	2	315498	213935	285360	114935	71707	4808332	2283855	2168731	115124	2524477
FR72	Auvergne	1999	27115	33338	115237	40461	6838	127	85570	5741	6	2527	8511	21	27	3617	0	54659	43868	64063	25874	11832	1062623	571873	529432	42441	490750
FR81	Languedoc-Roussillon	1999	37934	54223	181132	73378	12084	106	69005	8170	6	3500	14344	8	81	6410	0	98878	66783	167323	50022	33409	1896202	936093	876796	59297	960109
FR82	Provence-Alpes-Côte d'Azur	1999	68957	99695	254694	136553	19068	158	33577	10723	20	3343	24016	214	210	6856	1	159873	106357	164105	75606	46623	2730735	1272660	1210649	62011	1458075
FR83	Corse	1999	32623	56188	118420	68529	9389	87	11256	4801	22	1247	11354	156	109	3374	1	68321	47687	70910	36083	21882	1270737	586720	562439	24281	684017
FR91	Gaudeloupe	1999	657	703	7124	1337	2	5	64	401	0	1678	391	0	1	1	0	6960	695	5845	430	189	262036	30774	26483	4291	231262
FR92	Martinique	1999	775	1155	7280	1066	2	1707	0	358	0	552	451	0	0	0	0	7463	2385	1900	255	187	250613	29128	25536	3592	221485
FR93	Guyane	1999	334	206	1535	626	0	0	1	0	0	20	219	0	0	0	0	1254	500	662	265	166	43731	6321	5788	533	37410
FR94	Réunion	1999	3101	6663	40086	6940	0	20	700	3323	8	2381	2747	14	38	1258	2	22396	18174	5653	2583	1971	386696	128091	118058	10033	258605
FRX1	Sainte Pierre et Miquelon	1999	233	219	1157	695	0	0	0	0	15	58	204	0	0	0	0	4236	4059	249	283	397	41773	12010	11805	205	29763
FRX2	Mayotte	1999	732	772	3841	1812	0	0	379	0	0	368	703	0	0	0	0	12896	2085	4240	2516	1018	116898	32643	31362	1281	84255
FRX3	Wallis et Futuna	1999	374	393	5415	2639	0	0	0	0	0	1021	1318	0	0	0	0	23536	1254	1207	1219	889	133057	41457	39265	2192	91600
FRX4	Polynesie Francaise	1999	47	23	310	156	0	0	0	0	0	0	19	0	0	0	0	130	294	60	42	17	4510	1216	1098	118	3294
FRX5	Nouvelle Caledonie	1999	33	31	2811	81	0	0	0	0	0	0	62	0	0	0	0	1619	218	117	66	55	8728	5141	5093	48	3587
FRZZ	Abroad votes	1999	1537	1432	12957	8964	0	0	1	332	0	332	608	0	0	13	0	10010	6718	5396	2024	1225	292646	52628	51549	1079	240018
FR1	ÎLE DE FRANCE	1999	45861	74452	192465	82139	14327	210	60505	8037	9	3725	16353	50	166	6718	1	119706	78757	146379	66800	39101	2218046	1015152	955761	59391	1202894
FR2	BASSIN PARISIEN	1999	147802	224974	697146	274909	42097	434	259377	27601	444	10395	50054	165	304	22527	0	400053	252697	394105	154832	103728	6714567	3260260	3063644	196616	3454307
FR3	NORD - PAS-DE-CALAIS	1999	29608	40388	132855	51389	6945	22	33663	5145	3	1750	7611	88	52	3134	0	47064	43361	66754	30669	20877	1100783	552122	521378	30744	548661
FR4	EST	1999	95182	121464	436647	187456	24725	290	176594	18574	35	7408	28994	229	193	15832	1	221683	167581	222167	87781	51902	4048734	1979914	1864738	115176	2068820
FR5	OUEST	1999	93859	103266	406331	178073	28524	265	146505	19553	322	8512	33043	92	123	14349	0	243526	204205	258324	95261	50861	4287161	2014835	1884994	129841	2272326
FR6	SUD-OUEST	1999	213119	244652	797398	337259	70974	673	238641	44955	94	16399	69912	200	569	25034	0	444064	377436	439814	257799	120808	8453524	3953229	3699800	253429	4500295
FR7	CENTRE-EST	1999	142074	165658	574791	301807	40236	328	165873	26085	20	8860	50155	1127	353	19063	2	370157	257803	349423	140809	83539	5870955	2855728	2698163	157565	3015227
FR8	MÉDITERRANÉE	1999	139514	210106	554246	278460	40541	351	113838	23694	48	8090	49714	378	400	16640	2	327072	220827	402338	161711	101914	5897674	2795473	2649884	145589	3102201
FR9	DÉPARTMENTS D'OUTRE -MER	1999	4867	8727	56025	9969	4	1732	765	4082	8	4631	3808	14	39	1259	2	38073	21754	14060	3533	2513	943076	194314	175865	18449	748762
FRX	OTHER AREAS	1999	1419	1438	13534	5383	0	0	379	0	15	1447	2306	0	0	0	0	42417	7910	5873	4126	2376	304966	92467	88623	3844	212499
FRZ	ABROAD VOTES	1999	1537	1432	12957	8964	0	0	1	332	0	332	608	0	0	13	0	10010	6718	5396	2024	1225	292646	52628	51549	1079	240018
FR	FRANCE	1999	914842	1196557	3874395	1715808	268373	4305	1196141	178058	998	71549	312558	2343	2199	124569	8	2263825	1639049	2304633	1005345	578844	40132132	18766122	17654399	1111723	21366010
